,job_title,company,location,salary,posted,date_extracted
3537,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:49.680715
3538,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:49.680715
3539,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:49.681712
3540,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:49.681712
3541,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:49.682710
3542,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:49.682710
3543,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:49.683707
3544,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:49.683707
3545,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:49.684704
3546,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:49.684704
3547,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:49.684704
3548,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:49.685701
3549,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:49.685701
3550,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:49.686699
3551,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:49.686699
3552,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:49.687696
3553,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:49.687696
3554,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:49.688693
3555,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:49.688693
3556,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:49.689691
3557,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:49.689691
3558,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:49.690688
3559,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:49.691686
3560,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:49.691686
3561,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:49.691686
3562,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:49.692683
3563,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:49.693680
3564,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:49.693680
3565,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:49.693680
3566,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:49.694677
3567,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:49.694677
3568,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:49.695675
3569,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:49.695675
3570,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:49.696672
3571,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:49.696672
3572,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:49.697669
3573,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:49.698667
3574,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:49.698667
3575,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:49.698667
3576,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:49.699664
3577,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:49.700661
3578,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:49.700661
3579,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:49.701659
3580,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:49.701659
3581,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:49.701659
3582,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:49.702656
3583,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:49.703653
3584,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:49.703653
3585,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:49.703653
3586,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:49.704651
3587,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:49.704651
3588,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:49.705648
3589,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:49.705648
3590,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:49.706645
3591,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:49.706645
3592,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:49.707643
