,job_title,company,location,salary,posted,date_extracted
3724,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:49.782947
3725,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:49.783944
3726,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:49.783944
3727,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:49.784942
3728,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:49.784942
3729,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:49.785939
3730,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:49.785939
3731,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:49.786936
3732,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:49.786936
3733,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:49.787935
